id,timestamp,recipient,medium,thread_id,parent_ts,body,reactions,is_reply
sample-011,2026-04-27T00:18:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 27 April

Full day on Shambu's creator profile system today. Classifier work paused, picking it back up tomorrow.

Shipped today: 8 commits. Pipeline runs end to end. Input a TikTok username, it pulls their videos, analyses them with Gemini, fetches their Kalodata GMV, and produces a creator profile card.

Live tests on real creators:

• shopflashsales: full card with briefing rec and voice DNA. $109k 30-day GMV. Best output so far.
• gymselavi, bridgettesbuys: cards produced cleanly.
• shopbyjake, fitnhealthyeve, bbellabianca: $736k, $373k, $384k 30-day GMV pulled.

Kept hitting the Gemini quota wall through the day. Free tier is capped at 20 calls per day on this project, and a single creator burns ~12 calls. Will spin up a fresh key on a different Google account tomorrow and continue the batch run from there.

Tomorrow plan:

1. Switch to fresh Gemini key, validate the new fields populate on a clean run.
2. Run remaining creators on the batch list.
3. Pick classifier back up: wrap tokens.py into one reusable function with retries and error handling.

Repos:

- Classifier: https://github.com/Krtvy/LabeLLM (no changes today)
- Creator profile system: still local, pushing to GitHub once the batch produces cards I am happy with.",,false
sample-012,2026-04-28T04:52:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 28 April

Classifier project: added error handling so the API call does not crash when something goes wrong. Auto retry comes next.

Creator profile system: 9-creator batch is running. Now rotates between multiple Gemini keys so we do not hit quota walls. Added a fallback so the card still produces output even when one step breaks. Layout reworked with a summary at the top for fast reading. Repo is now on GitHub.

Side project: AI agent that looks up a creator on Kalodata and Cruva and gives one combined report. Basic setup is done. Still needs:

- A real test run on an actual creator.
- Speed up the Kalodata side. Currently drives a real browser which is slow and breaks when their UI changes.
- A cache so we do not re-fetch the same creator twice.

Tomorrow:

1. Apply 4 fixes to the creator cards and re-run the batch.
2. Classifier: combine the API call, cost tracking, retries, and error handling into one piece I can reuse.

Repos:

- Classifier: https://github.com/Krtvy/LabeLLM
- Creator profile system: https://github.com/Krtvy/creator-profile-api",,false
sample-013,2026-04-29T01:24:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 29 April

Classifier project: the API call now auto-retries when something temporary fails (slow network, rate limits) and waits longer between tries. Bad-key errors fail right away. Also added streaming so the reply appears live, word by word.

Creator profile system: started a 15-creator batch tonight that runs while I sleep. By morning there should be 25 full cards ready in one place.

AI agent (Cruva + Kalodata): pulled real Health GMV numbers for 591 of 1,384 creators on the list. Total: $14.27M across that group. Top 15 identified. Five CSV files delivered. The other 793 are not in Cruva's free data, so I will try a few more Cruva methods first, and build a Kalodata fallback if those do not work.

Tomorrow:

1. Wrapper for the classifier that combines everything so far into one reusable piece.
2. Check the overnight batch results.
3. Try the other Cruva methods, then build the Kalodata fallback if needed.

Repos:

- Classifier: https://github.com/Krtvy/LabeLLM
- Creator profile system: https://github.com/Krtvy/creator-profile-api

Good night.",,false
sample-014,2026-04-30T01:20:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 30 April

Today went into the move. Packing, paperwork, payments, talking to the PG owner and the new flat owner. Did not get to the AI projects today. Tomorrow is the actual move.

Yesterday on the AI side went well. The creator profile system's overnight run finished well: 25 creator cards are now ready, 22 of them are good. 4 of them have real GMV numbers, adding up to $364K. The AI agent (Cruva + Kalodata) gave a much better number after I fixed the math: real Health GMV for 708 of 1,384 creators (that is 51%), $5.24M in the last 30 days, top one is legendarylootfinds with $247K. Did not get to the classifier yesterday because of the move work.

Moving so I have a proper space to work. The new place has a proper room and desk setup, which will make it much easier to focus on the AI work properly.

Also, if there is any project or task you have been thinking of giving me, please send it my way. Happy to work on it.

Good night.",,false
sample-015,2026-05-01T01:50:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 1 May

Today was on internal data work, no AI side today. Mapped out the GMV and video count for Anisha, fixed the Tarmita sheet, and had a meeting with Shivangi and Rachit for the May tracker. Rachit also walked me through how things will progress in the next month.

Tomorrow is the actual flat move. The AI side has been quiet through these move days. From the new place onwards, the AI updates will be richer and have more progress than these past few days.

Good night.",,false
sample-016,2026-05-02T03:17:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 2 May

Noted on yesterday. Was not getting dedicated time to sit on AI because of the move. Moved into the new flat today, so more focused time for AI from here.

Three things from these days:

Classifier project: closed the first stage. Built the base function that handles every AI call. Learned how to wire up auth, error handling, retries, cost tracking, and streaming, and how to wrap them all behind one clean interface. Prompt engineering next.

Creator profile system: shipped v1.1.0. Built outreach contact extraction, posting cadence, earnings per video, and a brand fit score. Learned how to backfill cached profiles cheaply without re-running the full pipeline.

AI agent (Cruva + Kalodata): cracked Kalodata's internal API. Now pulling real Health category numbers directly from their endpoint instead of scraping the UI. Learned how to capture internal endpoints from network traffic and how to design a fallback when one platform's free tier does not cover the universe.

Repos:
- Classifier: https://github.com/Krtvy/LabeLLM
- Creator profile system: https://github.com/Krtvy/creator-profile-api

Good night.",,false
sample-017,2026-05-04T02:40:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 4 May
Classifier project: started Phase 2 tonight. The AI now takes a ""personality"" along with the question, so the same model can answer the same question differently each time.
Token Saviour: built a small tool that plugs into Claude Code. It cuts the extra words sent to the AI every time, so each chat costs a little less. Running automatically now.
Creator profile system: closed. A last data refresh fixed most of the wrong labels. All 25 cards are live and the full project story is in the repo.
AI agent (Cruva + Kalodata): closed. Pulled data from both sources, merged it into one master file, and did a final gap check. Both platforms limit how much you can pull on the free plan, so the rest stays uncovered.
Tomorrow:

Next step of Phase 2 on the classifier (showing the model example answers).
Watch Token Saviour through a full day to make sure the savings actually hold.
Repos:

Classifier: https://github.com/Krtvy/LabeLLM
Creator profile system: https://github.com/Krtvy/creator-profile-api
Good night.",,false
sample-018,2026-05-05T05:08:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 5 May
Started the day on Phase 2 of the classifier, then got engaged on the data part: automated the May sheet so it updates on its own, and got Khushi the data she needed. Also discussed a few build ideas with Pranav.
Tomorrow:

Get more context from Pranav on what we are building.
Back on Phase 2 of the classifier (showing the model example answers).
Watch Token Saviour through a full day of work to make sure the savings hold.
Repos:

Classifier: https://github.com/Krtvy/LabeLLM
Creator profile system: https://github.com/Krtvy/creator-profile-api
Good night.",,false
sample-019,2026-05-06T04:18:00+05:30,mayank,slack,—,—,"Hey Mayank,
AI Update 6 May
Classifier project: closed Phase 2.A today and pushed everything to GitHub. The cost finding from the demo is now properly written up. Same question can swing about 10x in cost depending on how chatty the personality is. First sub-phase of Phase 2 is locked in.
D2C / consumer brand research: spent today researching D2C brand strategy across the funnel. Covers acquisition, conversion, retention, user habits, creator commissions, competitor profiles, and brand case studies. Each topic in its own doc so you can jump to whichever part you care about.
Data side: more work on the main sheet automation. Gave Khushi creator earnings data, including each creator's commission and what they brought in for Rootlabs. Also pulled new video GMV numbers for bearthevoice3.
Token Saviour: ran it through a full day. The savings on each individual chat are small, but the total tokens saved over a whole day adds up to something meaningful when you stack up long sessions.
Tomorrow:

Phase 2.B of the classifier (showing the model example answers).
Go back through the D2C research with Pranav, pull out the key points, and tighten it into a concise version of what actually matters.
Repos:

Classifier: https://github.com/Krtvy/LabeLLM
Good night.",,false
sample-020,2026-05-07T04:04:00+05:30,mayank,slack,—,—,"Hey Mayank,
7 May
AI Update
Observer agent: built a new agent today that watches other AI agents while they work. After either 10 days of watching or 20 runs, it suggests changes for that agent based on what it has seen. I can apply, reject, or modify those suggestions. The idea is to let agents improve themselves over time.
Manini cross-reference: ran Manini's list of 1,875 creators through the Cruva-Kalodata agent I built. 554 covered so far. 1,321 have no data at all in either source. Of the 554, 207 are actually selling health products in the last 30 days, and 37 of those crossed $10,000. The other 347 are in our system but have zero health sales. The agent still has some limits and is not running at full capacity yet.
Research summary: yesterday's D2C research was done by the research agent. Today I used it to pull the key points for customer acquisition and retention, and turned that into a step-by-step plan for following up with customers, with ready-to-use message templates and a simple playbook.
Data Update
Khushi GMV: spent time on creator GMV numbers for Khushi. Worked out the New Video GMV for bearthevoice3 and blondevixen59 on alpha gummies. Combined was about $7,992 out of $102,449 total. Also recorded the process for future use.
Anisha's tracker: set up an automation that adds the daily MagAshwa LIVE creators and their GMV into her sheet on its own.
Chanchal: gave sample data on the basis of the PoC.
No progress on the Classifier today. Spent the whole day on agent and research work. Picking it back up tomorrow.
Tomorrow:

Phase 2.B of the classifier (showing the model example answers).
Improve the Cruva-Kalodata agent so it runs at full capacity.
Will be working from home tomorrow as my mother is visiting me.
Repos:

Classifier: https://github.com/Krtvy/LabeLLM
Good night.",,false
sample-021,2026-05-08T03:16:00+05:30,mayank,slack,—,—,"Hey Mayank,
8 May
AI Update
Customer email pipeline (MagAshwa + HGR): built out the customer email flow using yesterday's research, settled on 8 emails per customer.
Agent work: kept improving the observer agent from yesterday and the research agent. Mapped how they work together and looked into how each is built. The observer agent in particular got a big update with more files and more capability, working towards a version that can improve itself on its own. Also planned for an Orchestrator agent that will manage all the agents together. Keeping it for the future, once I have enough data from the Observer and Research agents to design it well.
Cruva-Kalodata agent: working on it. Will update when there is real progress.
Token Saviour: ran the 4-day numbers. 192 prompts seen, 10 compressed, ~6,000 tokens saved. Most prompts were already short, so the hook did not need to touch them.
Classifier: read the documentation today so I can code from tomorrow onwards. Phase 2.B will show the model 2-3 example answer pairs so it picks up the right output pattern. A small demo script, plus an update to my wrapper so it can handle example pairs.
Data Update
HGR + MagAshwa LIVE tracker: extended yesterday's Anisha tracker. Built an automated sheet for Trupti that counts HGR LIVE and MagAshwa LIVE GMV and creators, using the same logic Anisha's tracker runs on, so both pipelines pull and append data the same way.
May sheet: fixed a few glitches that had crept in.
Data workflow: discussed the data-request process in the data request channel with Rachit. Shared some inputs from my experience as a data intern on how it can be streamlined.
Tomorrow:

Phase 2.B of the classifier.
Continue improving the agents.
Roll out the new Data Request channel so every data request goes through the form.
Repos:

Classifier: https://github.com/Krtvy/LabeLLM
Good night.",,false
sample-022,2026-04-22T14:23:00+05:30,mayank,slack,—,—,"Got it. From tomorrow the update will include what I built that day, not just what I watched. Starting with hands on stuff today itself.",,true
